,ID,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases 1M pop,Deaths 1M pop,Total Tests,Tests 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,North America,54.493.374,+19.754,1.106.782,+407,42.667.824,+23.302,10.718.768,24.276,,,,,,North America,,,,,,
1,,Asia,77.319.450,+80.643,1.141.621,+1.345,74.201.419,+109.743,1.976.410,29.849,,,,,,Asia,,,,,,
2,,South America,38.043.088,+808,1.161.344,+8,36.149.919,+1.254,731.825,12.659,,,,,,South America,,,,,,
3,,Europe,60.676.067,+137.270,1.249.074,+2.385,55.510.938,+117.364,3.916.055,11.641,,,,,,Europe,,,,,,
4,,Africa,8.469.994,+1.193,214.692,+29,7.780.972,+2.185,474.330,2.766,,,,,,Africa,,,,,,
5,,Oceania,260.529,+1.893,3.225,+13,201.494,+20,55.810,384,,,,,,Australia/Oceania,,,,,,
6,,,721,,15,,706,,0,0,,,,,,,,,,,,
7,,World,239.263.223,+241.561,4.876.753,+4.187,216.513.272,+253.868,17.873.198,81.575,30.695,625.6,,,,All,,,,,,
8,1,USA,45.327.392,+14.039,734.797 ,+186,34.809.743,+12.578,9.782.852,16.888,135.923,2.203,660.071.969,1.979.348,333.479.557 ,North America,7,454,1,42,0.6,29.336
9,2,India,34.000.392,+15.913,451.219 ,+228,33.335.031,+22.580,214.142,8.944,24.333,323,585.038.043,418.689,1.397.309.368 ,Asia,41,3.097,2,11,0.2,153
10,3,Brazil,21.582.738,,601.266 ,,20.694.669,,286.803,8.318,100.625,2.803,63.776.166,297.342,214.487.273 ,South America,10,357,3,,,1.337
11,4,UK,8.231.437,+38.520,137.944 ,+181,6.724.341,+37.646,1.369.152,747,120.446,2.018,315.278.717,4.613.310,68.341.111 ,Europe,8,495,0,564,3,20.034
12,5,Russia,7.832.964,+28.190,218.345 ,+973,6.894.285,+20.706,720.334,2.300,53.645,1.495,197.600.000,1.353.292,146.014.362 ,Europe,19,669,1,193,7,4.933
13,6,Turkey,7.475.115,,66.368 ,,6.927.337,,481.410,633,87.432,776,90.202.990,1.055.050,85.496.437 ,Asia,11,1.288,1,,,5.631
14,7,France,7.057.631,,117.082 ,,6.847.617,,92.932,1.200,107.819,1.789,146.046.715,2.231.155,65.457.901 ,Europe,9,559,0,,,1.420
15,8,Iran,5.729.785,+13.391,123.081 ,+213,5.249.956,+15.946,356.748,5.124,67.122,1.442,32.619.228,382.121,85.363.583 ,Asia,15,694,3,157,2,4.179
16,9,Argentina,5.266.275,,115.491 ,,5.133.692,,17.092,967,115.173,2.526,24.252.818,530.409,45.724.788 ,South America,9,396,2,,,374
17,10,Spain,4.977.448,,86.827 ,,4.816.194,,74.427,507,106.406,1.856,66.213.858,1.415.494,46.777.901 ,Europe,9,539,1,,,1.591
