Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Deaths 1M pop,Total Tests,Population,% Deaths COVID/Population,Date vaccinated,Fully vaccinated,% Fully vaccinated
USA,45431167,,737589,,34997968,,9695610,16357,2212,662515375,333484850,0.22,12/10/2021,187714829,57.15%
INDIA,34001743,+1243,451220,,33342901,+7600,207622,8944,323,586363442,1397346408,0.03,12/10/2021,269570606,19.73%
BRAZIL,21590097,,601442,,20720496,,268159,8318,2804,63776166,214491395,0.28,12/10/2021,99584719,47.39%
UK,8231437,,137944,,6724341,,1369152,747,2018,315278717,68342083,0.2,12/10/2021,45189181,67.42%
RUSSIA,7861681,+28717,219329,+984,6916086,+21801,726266,2300,1502,198100000,146014533,0.15,12/10/2021,45099730,30.73%
TURKEY,7508975,,66605,,6957447,,484923,633,779,90560626,85498915,0.08,12/10/2021,46435265,55.54%
FRANCE,7063511,,117150,,6854343,,92018,1200,1790,146046715,65458295,0.18,12/10/2021,45085758,66.85%
IRAN,5729785,,123081,,5249956,,356748,5124,1442,32619228,85366521,0.14,12/10/2021,16715387,20.07%
ARGENTINA,5267339,,115547,,5134604,,17188,920,2527,24289731,45725920,0.25,12/10/2021,23928986,53.25%
SPAIN,4977448,,86827,,4816194,,74427,507,1856,66213858,46777951,0.19,10/10/2021,36937743,77.94%
COLOMBIA,4974400,,126692,,4817951,,29757,342,2456,26052816,51576029,0.25,12/10/2021,18501504,36.73%
ITALY,4704318,,131384,,4490388,,82546,370,2177,95761232,60348043,0.22,12/10/2021,41766516,70.48%
GERMANY,4342178,,95183,,4116400,+10100,130595,1336,1131,73348901,84126647,0.11,12/10/2021,54312772,65.32%
INDONESIA,4231046,+1233,142811,+48,4067684,+2259,20551,,515,42366580,277220196,0.05,12/10/2021,57607200,21.32%
MEXICO,3732429,+7187,282773,+546,3093786,+5731,355870,4798,2164,10946370,130664056,0.22,12/10/2021,48482445,37.94%
POLAND,2928065,+2640,75958,+40,2670394,+214,181713,239,2010,21378996,37793563,0.2,12/10/2021,19540515,51.64%
SOUTH AFRICA,2912938,,88429,,2797443,,27066,546,1467,18016455,60264107,0.15,12/10/2021,9911989,16.62%
PHILIPPINES,2690455,+7181,40069,+173,2567975,+6889,82411,3194,360,21881933,111444399,0.04,12/10/2021,23360489,21.48%
