Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Deaths 1M pop,Total Tests,Population,Continent,% Deaths COVID/Population,Date vaccinated update,Fully vaccinated,% Fully vaccinated,Year_GDP_update,GDP_Annual (M),Temperature_1961_1990
USA,47035543,+35054,769661,+803,37055418,+45428,9210464,11950,2307,704247366,333596010,North America,0.23,02/11/2021,192726406,0.58,2020,18292506,
INDIA,34319152,+12975,459658,+455,33703771,+14279,155723,8944,329,611278853,1398124254,Asia,0.03,02/11/2021,332073961,0.24,2020,2332923,23.65
BRAZIL,21835785,+14661,608235,+117,21015876,,211674,8318,2835,63776166,214577957,South America,0.28,02/11/2021,120758718,0.57,2020,1263570,24.95
UK,9171660,+41299,141181,+217,7462157,+36071,1568322,1030,2065,336227289,68362503,Europe,0.21,02/11/2021,45712351,0.68,2020,2423371,
RUSSIA,8633643,+40443,242060,+1189,7445438,+32807,946145,2300,1658,216000000,146018111,Europe,0.17,02/11/2021,47683391,0.33,2020,1293052,−5.10
TURKEY,8091462,,71052,,7549258,,471152,1405,831,97682867,85550957,Asia,0.08,02/11/2021,48758456,0.58,2020,626576,09.90
FRANCE,7180832,+10050,117802,+39,6956513,+5113,106517,1049,1799,151204954,65466558,Europe,0.18,02/11/2021,45861703,0.68,2020,2302860,10.70
IRAN,5954962,+10363,126763,+147,5547349,+12682,280850,3789,1484,35834817,85428203,Asia,0.15,02/11/2021,33088940,0.39,2020,731353,17.25
ARGENTINA,5291285,,116010,,5157511,,17764,596,2536,25185115,45749693,South America,0.25,02/11/2021,25983978,0.57,2020,340627,14.80
SPAIN,5019255,+2287,87462,+39,4875129,+1424,56664,411,1870,66213858,46778986,Europe,0.19,30/10/2021,37317388,0.79,2020,1121948,13.30
COLOMBIA,5005402,,127348,,4849200,,28854,342,2468,26871137,51607128,South America,0.25,02/11/2021,21356231,0.42,2020,237746,24.50
ITALY,4782802,+5188,132224,+63,4565291,+4285,85287,381,2191,105354348,60342962,Europe,0.22,02/11/2021,43151642,0.73,2020,1653577,13.45
